                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.6871,                 2.8137,                 3.4059,                  1.464,                0.45304,                0.46167,                0.37859,                0.19274,                0.44465,                0.48267,                0.38803,                0.22745,                 1.4407,                0.89305,                 2.5534,                 1.3923,                  0.091,                  0.001,                  0.001
                      1,                 1.3743,                 1.1662,                 1.4133,                 1.2464,                0.93109,                0.94487,                0.95292,                0.54424,                0.94088,                0.95612,                 0.9604,                0.53535,                 1.3304,                0.52477,                 1.4987,                 1.2322,               0.081079,              0.0020792,              0.0020792
                      2,                 1.1894,                0.76362,                0.98889,                 1.0962,                0.94505,                0.94914,                0.95789,                0.62516,                0.95452,                0.96344,                0.97047,                0.59591,                 1.0256,                0.49831,                 0.9773,                 1.0458,               0.071137,              0.0031366,              0.0031366
                      3,                 1.0604,                0.64617,                0.84761,                 1.0239,                 0.9278,                 0.9427,                0.96214,                0.69103,                0.94313,                0.95702,                 0.9716,                 0.6035,                0.83101,                0.59088,                0.98788,                0.97762,               0.061172,              0.0041723,              0.0041723
                      4,                 1.0416,                0.64149,                0.79369,                 1.0135,                0.91016,                0.93744,                0.96245,                0.74473,                0.91303,                0.93785,                0.96074,                0.50272,                0.73748,                0.88453,                0.82093,                0.92273,               0.051186,              0.0051862,              0.0051862
                      5,                  1.056,                0.82766,                0.74272,                 0.9739,                0.90701,                0.94821,                0.96201,                0.74762,                0.90485,                0.94329,                0.95494,                0.49888,                   0.77,                0.71537,                0.64478,                0.92014,               0.041178,              0.0061782,              0.0061782
                      6,                 1.0552,                0.75345,                0.74751,                0.97727,                0.93911,                0.96131,                0.97003,                0.75777,                0.94676,                0.97234,                0.97482,                 0.6326,                0.74742,                0.59242,                0.64915,                 0.9198,               0.031149,              0.0071486,              0.0071486
                      7,                 1.0312,                 0.6077,                0.77796,                0.96967,                0.93431,                 0.9568,                0.96512,                0.73714,                0.94316,                  0.967,                0.97243,                0.55076,                0.74956,                0.81277,                0.62961,                0.91342,               0.021097,              0.0080971,              0.0080971
                      8,                0.99525,                0.75139,                0.74452,                0.95106,                0.92985,                0.94252,                0.96657,                0.76784,                0.93588,                0.95575,                0.97032,                0.55146,                 0.7205,                0.80638,                0.59785,                0.88796,               0.011024,              0.0090238,              0.0090238
                      9,                 1.0343,                0.62858,                0.89325,                0.95789,                0.85497,                0.92327,                0.93799,                0.69803,                0.84916,                0.91854,                0.92787,                0.55792,                0.78849,                 0.5077,                 0.9489,                0.92111,               0.009109,               0.009109,               0.009109
                     10,                 1.0227,                 0.5853,                0.87865,                0.97922,                0.92937,                0.96782,                0.96581,                0.77016,                0.93218,                0.97075,                0.96746,                0.65306,                  0.685,                0.49754,                0.68673,                0.89483,               0.009109,               0.009109,               0.009109
                     11,                 1.1169,                0.66194,                0.75206,                0.98202,                0.89463,                0.93092,                0.94243,                0.68162,                0.90632,                0.93632,                 0.9534,                0.56377,                0.75709,                0.68757,                0.66661,                0.90295,                0.00901,                0.00901,                0.00901
                     12,                 1.0004,                0.52635,                0.70945,                0.95674,                0.91423,                0.95387,                0.96206,                0.70742,                0.90755,                0.94689,                0.95524,                0.53607,                0.76715,                0.68302,                0.74437,                0.89691,               0.008911,               0.008911,               0.008911
                     13,                0.99304,                0.52774,                0.70677,                0.93354,                0.94982,                 0.9784,                0.97445,                0.82912,                0.95296,                0.98065,                0.97557,                0.65623,                0.57023,                0.50969,                0.55232,                0.85562,               0.008812,               0.008812,               0.008812
                     14,                0.98262,                0.62327,                0.63958,                0.92922,                0.92849,                0.96117,                0.95731,                0.72355,                0.93457,                0.96747,                0.96062,                0.58932,                0.77584,                0.66637,                 0.6245,                0.89156,               0.008713,               0.008713,               0.008713
                     15,                0.98441,                0.62334,                0.65337,                0.94906,                 0.9525,                0.97097,                0.97362,                0.82278,                0.94368,                0.96908,                0.97322,                0.66692,                0.55149,                0.37156,                0.50657,                0.84805,               0.008614,               0.008614,               0.008614
                     16,                0.92989,                0.53233,                0.66917,                0.94017,                0.95365,                 0.9802,                0.97612,                0.81947,                0.95608,                0.98245,                0.97793,                0.68404,                0.52173,                 0.4169,                0.54012,                0.84539,               0.008515,               0.008515,               0.008515
                     17,                0.86102,                0.50901,                0.61963,                0.91584,                0.94619,                0.96943,                0.97494,                0.79317,                0.94726,                 0.9685,                0.97492,                0.63233,                0.73269,                0.49199,                0.65058,                0.87679,               0.008416,               0.008416,               0.008416
                     18,                0.92436,                0.57406,                0.63585,                0.92656,                0.95772,                0.97795,                0.97635,                0.81365,                0.96078,                0.98131,                0.97699,                0.69752,                0.69896,                0.44941,                0.66933,                0.86305,               0.008317,               0.008317,               0.008317
                     19,                0.86714,                0.49411,                0.58407,                 0.9321,                0.95471,                0.98665,                0.97739,                0.83604,                0.95486,                 0.9805,                0.97558,                0.60351,                0.57092,                0.49671,                0.49551,                0.84784,               0.008218,               0.008218,               0.008218
